uid,入室時刻,デバイス,HTTP_USER_AGENT
"double"aaa"",2014/09/06 13:28:40,pc,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10.9; rv:32.0) Gecko/20100101 Firefox/32.0"
"double"aaa"",2014/09/06 13:29:23,pc,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10.9; rv:32.0) Gecko/20100101 Firefox/32.0"
"double"aaa"",2014/09/06 13:31:59,pc,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10.9; rv:32.0) Gecko/20100101 Firefox/32.0"
"double"aaa","bbb"",2014/09/06 13:37:21,pc,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10.9; rv:32.0) Gecko/20100101 Firefox/32.0"
